Aircraft,Profile,Track,Track Type,Runway,A/C Category,Track Group,Num Day,Num Night,Num Total,% Day,% Night,% Total
EA-18G,226A_EXP,07A2A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226A_FLT,07A2A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226A_FRS,07A2A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226B_EXP,07A2B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226B_FLT,07A2B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226B_FRS,07A2B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226C_EXP,07A2C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226C_FLT,07A2C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,226C_FRS,07A2C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227A_EXP,07A1A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227A_FLT,07A1A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227A_FRS,07A1A,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227B_EXP,07A3B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227B_FLT,07A3B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227B_FRS,07A3B,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227C_EXP,07A3C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227C_FLT,07A3C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,227C_FRS,07A3C,Arrival,07,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228A_EXP,14A1A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228A_FLT,14A1A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228A_FRS,14A1A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228B_EXP,14A1B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228B_FLT,14A1B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228B_FRS,14A1B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228C_EXP,14A1C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228C_FLT,14A1C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,228C_FRS,14A1C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229A_EXP,14A2A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229A_FLT,14A2A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229A_FRS,14A2A,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229B_EXP,14A2B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229B_FLT,14A2B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229B_FRS,14A2B,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229C_EXP,14A2C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229C_FLT,14A2C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,229C_FRS,14A2C,Arrival,14,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,230A_EXP,25A1D,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0.285714286,0.285714286,0.00%,100.00%,1.56%
EA-18G,230A_FLT,25A1D,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,230A_FRS,25A1D,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231A_EXP,25A2A,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231A_FLT,25A2A,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231A_FRS,25A2A,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231B_EXP,25A2B,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231B_FLT,25A2B,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231B_FRS,25A2B,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231C_EXP,25A2C,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231C_FLT,25A2C,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,231C_FRS,25A2C,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232A_EXP,25A2NA,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232A_FLT,25A2NA,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232A_FRS,25A2NA,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232B_EXP,25A2NB,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232B_FLT,25A2NB,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232B_FRS,25A2NB,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232C_EXP,25A2NC,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232C_FLT,25A2NC,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,232C_FRS,25A2NC,Arrival,25,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233A_EXP,32A1A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233A_FLT,32A1A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233A_FRS,32A1A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233B_EXP,32A1B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233B_FLT,32A1B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233B_FRS,32A1B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233C_EXP,32A1C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233C_FLT,32A1C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,233C_FRS,32A1C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234A_EXP,32A2A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234A_FLT,32A2A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234A_FRS,32A2A,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234B_EXP,32A2B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234B_FLT,32A2B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234B_FRS,32A2B,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234C_EXP,32A2C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234C_FLT,32A2C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,234C_FRS,32A2C,Arrival,32,Based,P3 P8 IFR and Growler VFR non breaks,0,0,0,0.00%,0.00%,0.00%
EA-18G,235A_EXP,07O1A_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235A_FLT,07O1A_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235A_FRS,07O1A_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235B_EXP,07O1B_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235B_FLT,07O1B_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235B_FRS,07O1B_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235C_EXP,07O1C_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235C_FLT,07O1C_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,235C_FRS,07O1C_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236A_EXP,07O2A_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236A_FLT,07O2A_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236A_FRS,07O2A_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236B_EXP,07O2B_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236B_FLT,07O2B_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236B_FRS,07O2B_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236C_EXP,07O2C_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236C_FLT,07O2C_FLT,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,236C_FRS,07O2C_FRS,Arrival,07,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237A_EXP,14O1A_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237A_FLT,14O1A_FLT,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237A_FRS,14O1A_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237B_EXP,14O1B_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237B_FLT,14O1B_FLT,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237B_FRS,14O1B_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237C_EXP,14O1C_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237C_FLT,14O1C_FLT,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,237C_FRS,14O1C_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,238A_EXP,14O2A_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,238A_FLT,14O2A_FLT,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
EA-18G,238A_FRS,14O2A_FRS,Arrival,14,Based,Overhead Break Arrival,0,0,0,0.00%,0.00%,0.00%
